縣市別,性別,年齡,婚姻狀況,教育程度,人口數
嘉義市,男,15~19,非未婚,高中及以下,4
嘉義市,男,20~29,未婚,大學及專科,8077
嘉義市,男,20~29,未婚,碩士以上,1088
嘉義市,男,20~29,未婚,高中及以下,7519
嘉義市,男,20~29,非未婚,大學及專科,506
嘉義市,男,20~29,非未婚,碩士以上,48
嘉義市,男,20~29,非未婚,高中及以下,616
嘉義市,男,30~39,未婚,大學及專科,5578
嘉義市,男,30~39,未婚,碩士以上,1440
嘉義市,男,30~39,未婚,高中及以下,2802
嘉義市,男,30~39,非未婚,大學及專科,3758
嘉義市,男,30~39,非未婚,碩士以上,912
嘉義市,男,30~39,非未婚,高中及以下,2369
嘉義市,男,40~49,未婚,大學及專科,2420
嘉義市,男,40~49,未婚,碩士以上,498
嘉義市,男,40~49,未婚,高中及以下,2816
嘉義市,男,40~49,非未婚,大學及專科,5959
嘉義市,男,40~49,非未婚,碩士以上,1980
嘉義市,男,40~49,非未婚,高中及以下,5462
嘉義市,男,50~59,未婚,大學及專科,862
嘉義市,男,50~59,未婚,碩士以上,178
嘉義市,男,50~59,未婚,高中及以下,1676
嘉義市,男,50~59,非未婚,大學及專科,6003
嘉義市,男,50~59,非未婚,碩士以上,1721
嘉義市,男,50~59,非未婚,高中及以下,7857
嘉義市,男,60~69,未婚,大學及專科,310
嘉義市,男,60~69,未婚,碩士以上,44
嘉義市,男,60~69,未婚,高中及以下,858
嘉義市,男,60~69,非未婚,大學及專科,4973
嘉義市,男,60~69,非未婚,碩士以上,943
嘉義市,男,60~69,非未婚,高中及以下,7999
嘉義縣,女,15~19,未婚,大學及專科,0
嘉義縣,女,15~19,未婚,碩士以上,0
嘉義縣,女,15~19,未婚,高中及以下,8859
嘉義縣,女,15~19,非未婚,大學及專科,0
嘉義縣,女,15~19,非未婚,碩士以上,0
嘉義縣,女,15~19,非未婚,高中及以下,56
嘉義縣,女,20~29,未婚,大學及專科,14455
嘉義縣,女,20~29,未婚,碩士以上,983
嘉義縣,女,20~29,未婚,高中及以下,9769
嘉義縣,女,20~29,非未婚,大學及專科,1782
嘉義縣,女,20~29,非未婚,碩士以上,63
嘉義縣,女,20~29,非未婚,高中及以下,2405
嘉義縣,女,30~39,未婚,大學及專科,8569
嘉義縣,女,30~39,未婚,碩士以上,1191
嘉義縣,女,30~39,未婚,高中及以下,3092
嘉義縣,女,30~39,非未婚,大學及專科,7299
嘉義縣,女,30~39,非未婚,碩士以上,666
嘉義縣,女,30~39,非未婚,高中及以下,6267
嘉義縣,女,40~49,未婚,大學及專科,3816
嘉義縣,女,40~49,未婚,碩士以上,647
嘉義縣,女,40~49,未婚,高中及以下,2763
嘉義縣,女,40~49,非未婚,大學及專科,8592
嘉義縣,女,40~49,非未婚,碩士以上,1048
嘉義縣,女,40~49,非未婚,高中及以下,16073
嘉義縣,女,50~59,未婚,大學及專科,1332
嘉義縣,女,50~59,未婚,碩士以上,283
嘉義縣,女,50~59,未婚,高中及以下,1870
嘉義縣,女,50~59,非未婚,大學及專科,5696
嘉義縣,女,50~59,非未婚,碩士以上,837
嘉義縣,女,50~59,非未婚,高中及以下,23220
嘉義縣,女,60~69,未婚,大學及專科,320
嘉義縣,女,60~69,未婚,碩士以上,49
嘉義縣,女,60~69,未婚,高中及以下,761
嘉義縣,女,60~69,非未婚,大學及專科,2285
嘉義縣,女,60~69,非未婚,碩士以上,235
嘉義縣,女,60~69,非未婚,高中及以下,17999
嘉義縣,男,15~19,未婚,大學及專科,0
嘉義縣,男,15~19,未婚,碩士以上,0
嘉義縣,男,15~19,未婚,高中及以下,9819
嘉義縣,男,15~19,非未婚,大學及專科,0
嘉義縣,男,15~19,非未婚,碩士以上,0
嘉義縣,男,15~19,非未婚,高中及以下,17
嘉義縣,男,20~29,未婚,大學及專科,12919
嘉義縣,男,20~29,未婚,碩士以上,1366
嘉義縣,男,20~29,未婚,高中及以下,15701
嘉義縣,男,20~29,非未婚,大學及專科,1015
嘉義縣,男,20~29,非未婚,碩士以上,70
嘉義縣,男,20~29,非未婚,高中及以下,2030
嘉義縣,男,30~39,未婚,大學及專科,9439
嘉義縣,男,30~39,未婚,碩士以上,1800
嘉義縣,男,30~39,未婚,高中及以下,7742
嘉義縣,男,30~39,非未婚,大學及專科,6144
嘉義縣,男,30~39,非未婚,碩士以上,1055
嘉義縣,男,30~39,非未婚,高中及以下,6495
嘉義縣,男,40~49,未婚,大學及專科,3417
嘉義縣,男,40~49,未婚,碩士以上,535
嘉義縣,男,40~49,未婚,高中及以下,7355
嘉義縣,男,40~49,非未婚,大學及專科,7644
嘉義縣,男,40~49,非未婚,碩士以上,1655
嘉義縣,男,40~49,非未婚,高中及以下,15645
嘉義縣,男,50~59,未婚,大學及專科,1054
嘉義縣,男,50~59,未婚,碩士以上,134
嘉義縣,男,50~59,未婚,高中及以下,4442
嘉義縣,男,50~59,非未婚,大學及專科,7605
嘉義縣,男,50~59,非未婚,碩士以上,1520
嘉義縣,男,50~59,非未婚,高中及以下,25808
嘉義縣,男,60~69,未婚,大學及專科,262
嘉義縣,男,60~69,未婚,碩士以上,20
嘉義縣,男,60~69,未婚,高中及以下,1979
嘉義縣,男,60~69,非未婚,大學及專科,5255
嘉義縣,男,60~69,非未婚,碩士以上,704
嘉義縣,男,60~69,非未婚,高中及以下,24903
基隆市,女,15~19,未婚,大學及專科,0
基隆市,女,15~19,未婚,碩士以上,0
基隆市,女,15~19,未婚,高中及以下,6359
基隆市,女,15~19,非未婚,大學及專科,0
基隆市,女,15~19,非未婚,碩士以上,0
基隆市,女,15~19,非未婚,高中及以下,29
基隆市,女,20~29,未婚,大學及專科,10981
基隆市,女,20~29,未婚,碩士以上,748
基隆市,女,20~29,未婚,高中及以下,6879
基隆市,女,20~29,非未婚,大學及專科,1049
基隆市,女,20~29,非未婚,碩士以上,49
基隆市,女,20~29,非未婚,高中及以下,1575
基隆市,女,30~39,未婚,大學及專科,7664
基隆市,女,30~39,未婚,碩士以上,1113
基隆市,女,30~39,未婚,高中及以下,2366
基隆市,女,30~39,非未婚,大學及專科,6350
基隆市,女,30~39,非未婚,碩士以上,737
基隆市,女,30~39,非未婚,高中及以下,3988
基隆市,女,40~49,未婚,大學及專科,3918
基隆市,女,40~49,未婚,碩士以上,604
基隆市,女,40~49,未婚,高中及以下,2075
基隆市,女,40~49,非未婚,大學及專科,9279
基隆市,女,40~49,非未婚,碩士以上,1244
基隆市,女,40~49,非未婚,高中及以下,10147
基隆市,女,50~59,未婚,大學及專科,1947
基隆市,女,50~59,未婚,碩士以上,333
基隆市,女,50~59,未婚,高中及以下,2005
基隆市,女,50~59,非未婚,大學及專科,6655
基隆市,女,50~59,非未婚,碩士以上,924
基隆市,女,50~59,非未婚,高中及以下,17048
基隆市,女,60~69,未婚,大學及專科,731
基隆市,女,60~69,未婚,碩士以上,91
基隆市,女,60~69,未婚,高中及以下,1409
基隆市,女,60~69,非未婚,大學及專科,3994
基隆市,女,60~69,非未婚,碩士以上,308
基隆市,女,60~69,非未婚,高中及以下,18108
基隆市,男,15~19,未婚,大學及專科,0
基隆市,男,15~19,未婚,碩士以上,0
基隆市,男,15~19,未婚,高中及以下,6997
基隆市,男,15~19,非未婚,大學及專科,0
基隆市,男,15~19,非未婚,碩士以上,0
基隆市,男,15~19,非未婚,高中及以下,8
基隆市,男,20~29,未婚,大學及專科,9659
基隆市,男,20~29,未婚,碩士以上,1180
基隆市,男,20~29,未婚,高中及以下,10679
基隆市,男,20~29,非未婚,大學及專科,570
基隆市,男,20~29,非未婚,碩士以上,49
基隆市,男,20~29,非未婚,高中及以下,1263
基隆市,男,30~39,未婚,大學及專科,8399
基隆市,男,30~39,未婚,碩士以上,1677
基隆市,男,30~39,未婚,高中及以下,5418
基隆市,男,30~39,非未婚,大學及專科,4717
基隆市,男,30~39,非未婚,碩士以上,1026
基隆市,男,30~39,非未婚,高中及以下,3856
基隆市,男,40~49,未婚,大學及專科,3659
基隆市,男,40~49,未婚,碩士以上,626
基隆市,男,40~49,未婚,高中及以下,4994
基隆市,男,40~49,非未婚,大學及專科,7715
基隆市,男,40~49,非未婚,碩士以上,1921
基隆市,男,40~49,非未婚,高中及以下,8799
基隆市,男,50~59,未婚,大學及專科,1430
基隆市,男,50~59,未婚,碩士以上,202
基隆市,男,50~59,未婚,高中及以下,3627
基隆市,男,50~59,非未婚,大學及專科,7305
基隆市,男,50~59,非未婚,碩士以上,1512
基隆市,男,50~59,非未婚,高中及以下,14628
基隆市,男,60~69,未婚,大學及專科,543
基隆市,男,60~69,未婚,碩士以上,62
基隆市,男,60~69,未婚,高中及以下,1921
基隆市,男,60~69,非未婚,大學及專科,5863
基隆市,男,60~69,非未婚,碩士以上,896
基隆市,男,60~69,非未婚,高中及以下,16526
宜蘭縣,女,15~19,未婚,大學及專科,0
宜蘭縣,女,15~19,未婚,碩士以上,0
宜蘭縣,女,15~19,未婚,高中及以下,8782
宜蘭縣,女,15~19,非未婚,大學及專科,0
宜蘭縣,女,15~19,非未婚,碩士以上,0
宜蘭縣,女,15~19,非未婚,高中及以下,50
宜蘭縣,女,20~29,未婚,大學及專科,14061
宜蘭縣,女,20~29,未婚,碩士以上,892
宜蘭縣,女,20~29,未婚,高中及以下,8338
宜蘭縣,女,20~29,非未婚,大學及專科,1866
宜蘭縣,女,20~29,非未婚,碩士以上,59
宜蘭縣,女,20~29,非未婚,高中及以下,2268
宜蘭縣,女,30~39,未婚,大學及專科,8769
宜蘭縣,女,30~39,未婚,碩士以上,1283
宜蘭縣,女,30~39,未婚,高中及以下,2665
宜蘭縣,女,30~39,非未婚,大學及專科,9019
宜蘭縣,女,30~39,非未婚,碩士以上,905
宜蘭縣,女,30~39,非未婚,高中及以下,5941
宜蘭縣,女,40~49,未婚,大學及專科,3894
宜蘭縣,女,40~49,未婚,碩士以上,704
宜蘭縣,女,40~49,未婚,高中及以下,2429
宜蘭縣,女,40~49,非未婚,大學及專科,11081
宜蘭縣,女,40~49,非未婚,碩士以上,1826
宜蘭縣,女,40~49,非未婚,高中及以下,13437
宜蘭縣,女,50~59,未婚,大學及專科,1433
宜蘭縣,女,50~59,未婚,碩士以上,322
宜蘭縣,女,50~59,未婚,高中及以下,1919
宜蘭縣,女,50~59,非未婚,大學及專科,6843
宜蘭縣,女,50~59,非未婚,碩士以上,1222
